id,nom,latitude,longitude,departement
9100,Benagues,43.077767567,1.609995993,9
9500,Besset,43.072394781,1.846291671,9
9250,Bestiac,42.785299496,1.799260845,9
9160,Betchat,43.084337113,1.02905351,9
9100,Bezac,43.152935541,1.5735185180000002,9
9800,Bonac Irazein,42.840298273,0.982966446,9
9310,Bouan,42.792392257,1.643365341,9
9320,Boussenac,42.907697093,1.391199599,9
9000,Burret,42.951550607,1.472306905,9
9120,Calzan,43.033346295,1.741123428,9
9300,Carla De Roquefort,42.975332692,1.7620467190000002,9
9420,Castelnau Durban,42.992428714,1.338333517,9
9130,Casteras,43.127912251,1.403548506,9
9350,Castex,43.166036647,1.319505787,9
9120,Cazaux,43.052924497,1.519269138,9
5800,St Maurice En Valgodemard,44.798496053,6.112547256,5
7110,Chassiers,44.566071049,4.301942115,7
7110,Chazeaux,44.595318348,4.298677117,7
7130,Cornas,44.965893212,4.841157717,7
7000,Coux,44.743230369,4.622473789,7
7170,Darbres,44.659793314,4.515767253,7
7160,Dornas,44.851597834,4.357764189,7
7110,Largentiere,44.533435177,4.301173733,7
7160,Mariac,44.885755486,4.353058652,7
7140,Montselgues,44.533398573,4.003739641,7
7000,Privas,44.722434276,4.594124449,7
7110,Rocles,44.568283822,4.207891882,7
7160,St Cierge Sous Le Cheylard,44.926511605,4.453931301,7
7100,St Marcel Les Annonay,45.2886497,4.629391603,7
7140,St Pierre St Jean,44.48245206,4.101861085,7
7190,St Pierreville,44.818862746,4.481469211,7
7140,Les Vans,44.392227568,4.114704212,7
39270,Alieze,46.585078016,5.58585556,39
39240,Arinthod,46.393818871,5.582269114,39
39210,Arlay,46.765371686,5.537548031,39
39270,La Chailleuse,46.581654364,5.526378282,39
39800,Aumont,46.916358761,5.633131722,39
39700,Auxange,47.177696691,5.654431375,39
39200,Avignon Les St Claude,46.401415232,5.841108907,39
39380,Bans,46.982403501,5.580664055,39
39100,Baverans,47.105995408,5.536574226,39
39190,Beaufort Orbagna,46.585163377,5.434623271,39
39400,Bellefontaine,46.556551899,6.082359393,39
39380,Belmont,47.028201675,5.605061014,39
39800,Bersaillin,46.857207383,5.595263907,39
39110,Bracon,46.925701949,5.868310395,39
39800,Buvilly,46.869681049,5.725636745,39
39240,Cernon,46.412315932,5.643405536,39
39150,Les Chalesmes,46.692139123,6.026439714,39
39250,Charency,46.766948662,5.991886106,39
39130,Charezier,46.614530533,5.726955677,39
39210,Chateau Chalon,46.759243277,5.648414693,39
39230,Le Chateley,46.879800002,5.5442929450000005,39
39130,Chatillon,46.663026475,5.727169626,39
39200,Nanchez,46.500781245,5.861824827,39
39110,Chaux Champagny,46.884154623,5.879711162,39
39570,Chille,46.693041196,5.571909283,39
39110,Chilly Sur Salins,46.870199969,5.858210036,39
39380,Chissey Sur Loue,47.060399995,5.740191409,39
39140,Commenailles,46.805895385,5.437128703,39
39570,Courlans,46.676012788,5.487388674,39
39570,Courlaoux,46.669676119,5.449171257,39
39700,Courtefontaine,47.132677999,5.792778762,39
39260,Coyron,46.512641842,5.697033148,39
39210,Hauteroche,46.699491802,5.697212623,39
39260,Crenans,46.466529395,5.7419862340000005,39
39100,Crissey,47.051054482,5.478654585,39
39700,Dampierre,47.173242784,5.742542149,39
39130,Denezieres,46.623880768,5.801157366,39
39120,Le Deschaux,46.950886325,5.498571507,39
39230,Les Deux Fays,46.885617586,5.487783703,39
39190,Digna,46.518360263,5.38498466,39
39100,Dole,47.075502708,5.500897034,39
39270,Dompierre Sur Mont,46.562417185,5.612866077,39
39240,Dramelay,46.404302536,5.52954359,39
39160,Val D Epy,46.389785344,5.397605725,39
39320,Val D Epy,46.389785344,5.397605725,39
39300,Equevillon,46.760836092,5.9428508650000005,39
9200,Alos,42.897888566,1.129211246,9
39130,Etival,46.492221957,5.793862303,39
9400,Arignac,42.87585768,1.595543477,9
39230,Francheville,46.836292538,5.502884384,39
9460,Artigues,42.689846976,2.037910827,9
39130,Le Frasnois,46.636351633,5.890811397,39
9140,Aulus Les Bains,42.766542296,1.355768892,9
39110,Geraise,46.958660024,5.954886904,39
9800,Balacet,42.887117793,0.98278804,9
39380,Germigney,47.037391858,5.6858203320000005,39
9500,La Bastide De Bousignac,43.058173549,1.884852447,9
39570,Gevingey,46.638116747,5.50962812,39
9240,La Bastide De Serou,43.024895448,1.392649757,9
39150,Grande Riviere Chateau,46.528638867,5.909426948,39
9600,La Bastide Sur L Hers,42.950959843,1.89986243,9
39320,Graye Et Charnay,46.473281265,5.44835224,39
9600,Belloc,43.00739017,1.933669882,9
39110,Ivrey,46.989178766,5.896461266,39
9300,Benaix,42.895305448,1.850852879,9
39210,Ladoye Sur Seille,46.767223289,5.682794409,39
9800,Bethmale,42.853965958,1.07673861,9
9800,Bordes Uchentein,42.837369269,1.032045893,9
39140,Larnaud,46.706103332,5.457630233,39
9700,Brie,43.206824744,1.517381142,9
39250,La Latette,46.752350191,6.095555289,39
9290,Camarade,43.069587717,1.277445001,9
39170,Lavans Les St Claude,46.38753267,5.769814173,39
9500,Camon,43.021739562,1.962204382,9
39170,Lavans Les St Claude,46.38753267,5.769814173,39
9460,Carcanieres,42.707804729,2.123895517,9
39170,Lavans Les St Claude,46.38753267,5.769814173,39
9500,Cazals Des Bayles,43.092880528,1.939678458,9
39210,Lavigny,46.716723376,5.605508663,39
9230,Cerizols,43.119836867,1.067612925,9
39210,Lavigny,46.716723376,5.605508663,39
9310,Chateau Verdun,42.781483366,1.677300872,9
39260,Lect,46.394732447,5.672467609,39
