latitude,longitude,id,nom,siret,siren,adresse,code_postal,code_ape,milieu_pollué,secteur_na38,produitLabel,dateCreation,departement_id,
,,3014366,MAURIENNE BIOGAZ,85224990300018,852249903,"Zp N°10, Ld Le Champ De Bataille",51230,3521Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,51,
,,3014385,MAZAGRAN BIOGAZ SAS Méthanisation,85383996700017,853839967,Lieudit Constantine,8310,3521Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,8,
,,3014414,BIOGAZ DES TEMPLIERS,82389693100016,823896931,Chemin De La Voie Nouvelle,10600,3511Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,10,
,,3014555,TotalEnergies - Centrale électrique Saint-Avold,88000575600023,880005756,Centrale Emile Huchet - Zi Saint-avold - Route De Haslach,57500,3511Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,57,
,,3014681,BRI METHANE SAS,87790896200013,877908962,Lieu-dit La Messe,8310,3521Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,8,
,,3014734,LE PUISOT SAS,85014144100012,850141441,Lieu-dit Le Puisot,8300,3521Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,8,
,,3014742,METHARNES SAS,85402398300026,854023983,Lieu-dit Petites Conges,8310,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,8,
,,3015053,BIOGAZ VAL DE SEINE,84870731100017,848707311,"Lieu-dit ""le Boucherville""",10280,3521Z,Sol,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,10,
,,3100059,FAYAT TP,34324155000015,343241550,Pescontes,33190,4221Z,,FZ Construction,,,33,
,,3100190,SOTRAMAT,77812691200030,778126912,Les Puits,23270,0812Z,,BZ Industries extractives,,,23,
,,3100293,SAS LABORDE,32506962300016,325069623,"4, Chemin D'ilhasse - Za Lanneretonne, Section M Parcelles 214, 218 Et 294",64400,4211Z,,FZ Construction,,,64,
,,3100325,RIDEAU jean pierre SARL,43461455800014,434614558,"Champ De Naudon, Parcelles Zs N° 1 Et 2",17500,4312A,,FZ Construction,,,17,
,,3100819,BIOCENTRE DU SUD OUEST (ex O.G.D.),81967165200017,819671652,"Lotissement Les Cantines, Parcelle 1863 Et 1872 - Section 0c",33127,3900Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,33,
43.628283,-1.401584,3100845,BIOGASCONHA,78905988800014,789059888,Zone Industrielle De L'arriet,40230,3521Z,Sol,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,40,
,,3101957,SEC TP (Fontorbe - St J d'Angely),31968129200029,319681292,Fief Brun - Fontorbe,17400,4211Z,,FZ Construction,,,17,
,,3101968,COLAS SUD OUEST - AGENCE DE BRIVE,32940521100304,329405211,"Hautefage, Parcelle 441 Section Ad",19330,4211Z,,FZ Construction,,,19,
,,3102025,IRIS,84784808200016,847848082,"15, Rue Bernard Palissy",86100,2030Z,,CE Industrie chimique,,,86,
45.910522,-0.980803,3102381,Syndicat Intercommunal du Littoral SIL,25171068700012,251710687,Les Brandes De Renfermis,17620,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,17,
,,3102589,POLYPROCESS,44182700300035,441827003,"Parc D'activités Des Cantines, 303 Allée Des Cantines",33127,2016Z,,CE Industrie chimique,,,33,
,,3102774,AUNIS BIOGAZ,82254355900014,822543559,Le Bas Fief Des Fosses,17700,3511Z,Sol,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,17,
,,3102997,EUROVIA POITOU CHARENTES LIMOUSIN,41239570900287,412395709,Fief De Champtier,17600,4211Z,,FZ Construction,,,17,
45.8634763342,0.875471020076,3103059,ISDND SMURFIT KAPPA CRAMAUD III,47970117900067,479701179,Cramaud,87600,1712Z,,CC Bois et papier,,,87,
,,3103150,ROY TP,41450356500023,414503565,Lieu-dit Lahoun,40120,4312A,,FZ Construction,,,40,
,,3103416,SYNDICAT DES EAUX DU CENTRE OUEST 79,25790185000020,257901850,Lieu-dit Le Javelot,79220,3600Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,79,
,,3103471,MAQPRINT GROUPE,82437035700017,824370357,"43, Rue Ettore Bugatti",87280,6420Z,,KZ Activités financières et d'assurance,,,87,
,,3103627,GSM GRANULATS,57216565200965,572165652,Le Hioue,33720,0812Z,,BZ Industries extractives,,,33,
,,3103857,CARRIERES DE THIVIERS,30839335400029,308393354,Lieu-dit Le Vieux Château Nord,33220,0812Z,,BZ Industries extractives,,,33,
,,3103910,SMIVAL 47,25470258200019,254702582,"Chemin De Rieulet, Zac De La Confluence",47160,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,47,
,,3104765,LAFARGE GRANULATS - Montpouillan,41451176600654,414511766,"Montpouillan : Le Choix  - Pré De Broc - Les Barthotes - Pitosse - Les Barthotes - Le Pigeat - Loubarrase - Les Sables Sud - Les Sables Nord, Gaujac : Gardonne - Près De Gaujac",47200,0812Z,,BZ Industries extractives,,,47,
,,3104847,CTM (Centre Technique de Menjun),41423837800015,414238378,Rd 1 - Route De Mont-de-marsan,40090,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,40,
,,3105353,DECHETTERIE de Fléac - GRAND ANGOULEME,20007182700014,200071827,"17 Voie De L'europe, Parc Euratlantic",16730,8411Z,,OZ Administration publique,,,16,
,,3106283,BIOENERGIES 123 (SAS),83204502500018,832045025,Beau Site,87300,3821Z,Sol,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,87,
,,3106578,AUTOMOTIVE CELLS COMPANY (ACC),88463858600039,884638586,10 Rue Ampère,16440,4690Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,16,
,,3200087,CHROMELEC INDUSTRIES,53102780300018,531027803,Zone D'activité Des Prairies,38290,2561Z,,CH Métallurgie et fabrication de produits métalliques,,,38,
,,3200199,ISDI - FOREZIENNE D'ENTREPRISES EIFFAGE,31780344300017,317803443,"11 Bis Rue Frédéric Baît, Quartier Terrenoire - Site Vallon Du Vernet",42000,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,42,
,,3200246,ALME Environnement,53070853600038,530708536,"3, Impasse De La Bargette",42270,3812Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,42,
,,3200382,Méthanisation des Chatelets,39995531900013,399955319,Les Châtelets,74540,3511Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,74,
,,3200529,ORAMET RECYCLAGE,81868235300011,818682353,"1, Impasse Louis Saillant",69120,4672Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,69,
,,3200572,RENOVA FRANCE,41804086100043,418040861,"1, Rue Des Chênes",3270,1722Z,,CC Bois et papier,,,3,
45.563647,4.285321,3200573,URGO ADVANCED TEXTILE,79825156700037,798251567,Rue Des Siccards,42340,1392Z,,"CB Habillement, textile et cuir",,,42,
,,3200716,TMS INTERNATIONAL FRANCE,50891736600058,508917366,"Parc Européen D'entreprises, Za De La Gravière, Avenue Hector Berlioz",63200,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,63,
,,3200821,LEYGATECH Yssingeaux,44181519800029,441815198,Za De Lavee,43200,2229B,,CG Industrie des plastiques et autres produits non minéraux,,,43,
,,3200923,SIRTOM de Maurienne (ISDI de Plan d'Arc),25730145700020,257301457,"Isdi De Plan D'arc, Lieu-dit L'épine",73870,3900Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,73,
,,3200958,TERENVIE,32623391300028,326233913,Avenue Ramboz,69320,3900Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,69,
,,3201081,FAMY TP,76420021800015,764200218,Chemin Des Carrières,1150,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,1,
,,3201102,FAMY TP,90175327700010,901753277,Lieu-dit Les Vernans,74350,4312A,,FZ Construction,,,74,
,,3201147,CHIMIREC,39390306700089,393903067,Parc D'activité Chalaronne Centre,1400,3812Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,1,
44.932819,4.918133,3201219,EVVA - Chaufferie Valence La Forêt,82496437300016,824964373,182 Rue De La Forêt,26000,3530Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,26,
,,3201386,MGC (METAL GLOBAL CONCEPT),7150118300033,71501183,Zone D'activité Économique De La Grande Ile,38420,2550B,,CH Métallurgie et fabrication de produits métalliques,,,38,
45.087729,5.743911,3201408,ENGIE COFELY,55204695504227,552046955,"Rn 85, Plateforme Chimique De Jarrie",38560,3530Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,38,
,,3201463,CLEAN 38,38752431700022,387524317,Allée De La Volla,38113,8129B,,NZ Activités de services administratifs et de soutien,,,38,
45.201899,5.729944,3201516,CCIAG - BIOMAX,20004071500019,200040715,98 Rue Du Vercors,38000,8411Z,Air,OZ Administration publique,,,38,
,,3201548,SAS VALROMETHA,82822537500017,828225375,Le Village De  Chassonod,1260,3511Z,Sol,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,1,
,,3201824,AURILLAC CHALEUR BOIS (ACB),83140317500019,831403175,"Chaufferie Biomasse D'aurillac, Rue De L'yser",15000,3530Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,15,
,,3201867,Société Mithieux TP,32652078000015,326520780,Lieu Dit Les Tattes Les Combes,74350,4211Z,,FZ Construction,,,74,
,,3201873,SOTECH,48509062500032,485090625,"249 Rue Raoul Follereau, Zi Des Grands Prés",74300,2561Z,,CH Métallurgie et fabrication de produits métalliques,,,74,
45.591965,5.894511,3201890,SAVOIE DECHETS,20002336400033,200023364,928 Av De La Houille Blanche Zi Bissy,73000,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,73,
,,3201891,HAUBTMANN,53849365100029,538493651,"Zac De L'orme Les Sources, 3 Rue Adrienne Bolland -",42160,1812Z,,CC Bois et papier,,,42,
,,3201897,ADDUP,81940993900017,819409939,"22 Rue Verte, Zi De Ladoux",63118,7112B,,"MA Activités juridiques, de conseil et d'ingénierie",Impression 3d,2016-01-01,63,
,,3201944,LES PLASTIQUES DECORES,77120082100037,771200821,76 Rue De Vey,1100,2229A,Air,CG Industrie des plastiques et autres produits non minéraux,,,1,
,,3202452,SUEZ RV Centre Est,34348850800924,343488508,"Zi Les Veaux, Rue Des Mouliners",7170,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,7,
,,3202489,SBSC (ISDI),34408383700015,344083837,Gare Ambronay,1500,5224B,,HZ Transports et entreposage,,,1,
,,3203367,METALOR (MTACF),81535132500023,815351325,2 Rue Specia,69190,4672Z,,"GZ Commerce, réparation d'automobiles et de motocycles",,,69,
,,3203641,KARTESIS FRANCE,31601498400124,316014984,"Parc D'activité Des Bordets, 480 Rue Des Cygnes",74130,2562A,,CH Métallurgie et fabrication de produits métalliques,,,74,
,,3204077,SOCIETE NOUVELLE OMP,38307586800018,383075868,"Zi La Mode, 205 Chemin Du Garenod",1580,2454Z,,CH Métallurgie et fabrication de produits métalliques,,,1,
,,3204465,CFM INDUSTRIE,38501171300026,385011713,"2, Rue Louis Pergaud, Zi. Avenue D'auvergne",43100,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,43,
,,3204648,ISDI VALLON DU VERNET 3,48004212600015,480042126,"11 Bis Rue Frédéric Baït, Terrenoire",42000,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,42,
,,3300377,MACON ENERGIES SERVICES,42003976800033,420039768,"Centrale D'énergie Des Bruyères, Allée Ampère",71000,3511Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,71,
,,3300416,SYTEVOM,25700342600059,257003426,Lieu-dit En Blanchard,70000,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,70,
47.038515,5.412655,3300469,Solvay France,41457405300065,414574053,2 Avenue De La République,39500,2013B,"Air, Eau",CE Industrie chimique,,,39,
,,3300532,LES CARRIERES COMTOISES Raye - ISDI,43932820400011,439328204,Lieu-dit Champ De La Raye,90100,0811Z,,BZ Industries extractives,,,90,
,,3300639,SYTEVOM,25700342600059,257003426,Rd 16,70400,3812Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,70,
,,3300826,SADE CGTH _ Direction Régionale Centre E,56207750300794,562077503,"Lieu Dit Les Renardières, # 4155",71240,4221Z,,FZ Construction,,,71,
,,3301483,NOIROT,1645021500021,16450215,"Lieu-dit ""les Toppes""  Rd 109",21700,4211Z,,FZ Construction,,,21,
,,3301532,ENGIE ENERGIE SERVICES,55204695500324,552046955,9 Rue Edouard Belin,25000,3530Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,25,
,,3301564,Metal 21,81091609800017,810916098,13 Rue Martin Lejeas,21110,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,21,
,,3301605,COLAS NORD EST,32919833700100,329198337,Parcelles 180- 181- 183 Et 184,39570,4211Z,,FZ Construction,,,39,
,,3301658,Biodepe,38530208800047,385302088,Lieu-dit Au Grand Bouloy,21120,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,21,
,,3301670,AGRO ENERGIE DU PERTUIS SAS,82892095900016,828920959,Lieu-dit Les Champs De La Fouchère,70000,3511Z,Sol,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,70,
,,3301748,RECYCLAGE DU VAL DE LOIRE - RVDL,52946665800034,529466658,Allée Du Tremblat,58200,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,58,
,,3301816,SOCIETE GENERALE DES TECHNIQUES,35406351300015,354063513,"17 Rue De L'argentique, Zi Saôneor",71530,2222Z,,CG Industrie des plastiques et autres produits non minéraux,,,71,
